STT,Ma so thue,Ten cong ty,Ngay cuoi,Note,,,,,,
19,0312571351,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LƯƠNG CHÍ ĐỨC,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
20,0312686313,CÔNG TY TNHH DỊCH VỤ TRANG TRÍ NỘI THẤT VIỆT VƯƠNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
21,0312731502,CÔNG TY TNHH THIẾT BỊ CÔNG TRÌNH ĐIỆN VÂN NAM,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
22,0312755581,CÔNG TY TNHH TƯ VẤN XÂY DỰNG VÀ THƯƠNG MẠI VŨ PHÁT,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
23,0312791276,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DỆT MAY GIA TRẦN PHÁT,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
24,0312854871,CÔNG TY TNHH VẬT LIỆU XÂY DỰNG VÀ SAN LẤP SÀI GÒN,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
25,0313012204,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG QUỐC MẠNH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
26,0313096370,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TRỌNG HOÀNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
27,0106809707,CÔNG TY TNHH THƯƠNG MẠI XNK VÀ KINH DOANH NHIÊN LIỆU SFC,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
28,0313270452,CÔNG TY TNHH KINH DOANH THIẾT BỊ Y TẾ ĐẠI THẮNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
29,0313423518,CÔNG TY TNHH KINH DOANH VLXD AN ĐẠI DƯƠNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
30,0313720969,CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH SẮT THÉP VIỆT NGA,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
31,0313794791,CÔNG TY TNHH SẢN XUẤT MAY MẶC QUÝ DƯƠNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
32,0314027683,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NHỰA HOÀNG NAM,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
33,0107585961,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SONG THÀNH VIỆT NAM,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
34,0107611957,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG THƯƠNG MẠI TIẾN THANH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
35,0314123789,CÔNG TY TNHH VẬN TẢI VÀ CHẾ BIẾN GỖ MÊ LINH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
36,0107799071,CÔNG TY TNHH THƯƠNG MẠI KIM PHÚC LỘC,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
37,0314395704,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG TRUNG KIÊN,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
38,0107917582,CÔNG TY CỔ PHẦN BÁN BUÔN THIẾT BỊ ĐIỆN VÀ ĐIỆN TỬ HỒ CÔNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
39,0314539995,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ NHẬT DUY,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
40,0107984356,CÔNG TY TNHH KINH DOANH SUẤT ĂN CÔNG NGHIỆP HẢI VÂN,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
41,0314640145,CÔNG TY TNHH TM DV NHÀ HÀNG GARDEN FOOD,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
42,0314654324,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT BỊ ĐIỆN VÀ XÂY LẮP HÒA PHÁT,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
43,0108039965,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT THU KIM,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
44,0314737059,CÔNG TY TNHH KHAI THÁC SẢN XUẤT VÀ KINH DOANH SẮT THÉP VIỆT NHẬT,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
45,0314770137,CÔNG TY TNHH SẢN XUẤT CÔNG NGHIỆP NHỰA NHƯ Ý,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
46,0108121183,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ PHAN QUYỀN,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
47,0314934434,CÔNG TY TNHH NHÀ HÀNG VÀ DỊCH VỤ ĂN UỐNG HỒNG LAM,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
48,0315000980,CÔNG TY TNHH CHẾ TẠO MÁY MÓC CƠ KHÍ HÙNG DŨNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
49,0315048608,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VĂN THIẾT,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
50,0108327064,CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI VÀ XÂY DỰNG PHAN QUỐC,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
51,0315139710,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG ROMA,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
52,0108358464,CÔNG TY CỔ PHẦN DỊCH VỤ ẨM THỰC THUẬN THÀNH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
53,0315188725,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ AN PHÁT ĐẠT,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
54,0315224645,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG ĐIỂM HẸN SÀI GÒN,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
55,0315249350,CÔNG TY TNHH DVTM GIẤY VIỆT HÀ,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
56,0315272215,CÔNG TY TNHH VẬT TƯ MÁY MÓC THIẾT BỊ Y TẾ LONG CHÂU,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
57,0108461863,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ ĐẦU TƯ PHÁT TRIỂN HÒA AN,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
58,0108467336,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIANG ĐỊNH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
59,0108480552,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGỌC LÀNH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
60,0315392199,CÔNG TY TNHH SẢN XUẤT VÀ TM GỖ THANH HIẾU,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
61,0108654720,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ ĐẦU TƯ THỊNH VƯỢNG,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
62,0315833069,CÔNG TY TNHH SUPE PHỐT PHÁT VÀ HÓA CHẤT MIỀN NAM,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
63,0315838814,CÔNG TY TNHH DỊCH VỤ SỬA CHỮA VÀ MUA BÁN PHỤ TÙNG Ô TÔ TÍN PHÁT,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
64,0315911510,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI NHIÊN LIỆU TRÍ TÀI,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
65,0316016239,CÔNG TY TNHH SẢN XUẤT NHỰA VÀ BAO BÌ QUỐC BÌNH,,Công văn số 133/TCT-TTKT ngày 23/11/2022,,,,,,
66,0312164010,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI AN PHÚ HÙNG,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
67,0311702555,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ XÂY DỰNG NHÀ VUI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
68,0312899985,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DỊCH VỤ PHÚ QUỐC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
69,0314438330,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI QUẢNG THẠNH LỘC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
70,0309346243,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUẢNG CÁO ÁNH BẠC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
71,0317034022,CÔNG TY TNHH DỊCH VỤ SẢN XUẤT XÂY DỰNG QUÂN PHAN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
72,0312623659,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG TÂM THÀNH HƯNG,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
73,0317670606,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI GỖ HÀ MINH CHÂU,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
74,0317667321,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DỊCH VỤ THIỆN KHÔI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
75,0317666800,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT HƯNG BÌNH PHÁT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
76,0304950388,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI PHÚ AN THỊNH,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
77,0309245012,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUANG THANH VÂN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
78,0314257214,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI SẢN XUẤT KINH DOANH TRƯỜNG SƠN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
79,0315858828,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ÂN THIÊN NGỌC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
80,0315858829,0,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
81,0316580195,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ Ý HIÊN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
82,3603683023,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐÔNG HÒA AN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
83,0316549572,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI TÂM TRÍ ĐẠT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
84,3603681668,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NHÂN HÒA,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
85,0312572027,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI KHANG MỸ,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
86,0313434767,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG PHƯƠNG VY,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
87,0315858560,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG NAM PHƯƠNG NAM,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
88,0316813308,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ AN HƯNG PHÁT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
89,3603871027,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT ĐÔNG BẮC HẢI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
90,0312684080,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ SẢN XUẤT THIÊN SƠN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
91,0314054158,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG TRIỆU LONG,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
92,3603345088,Công Ty TNHH Sản Xuất Thương Mại Hùng Lâm,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
93,3603380170,Công Ty TNHH Sản Xuất Thương Mại Phát Hoàng Phong,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
94,0317670490,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THÁI BẢO HUY,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
95,0314743711,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ HƯNG GIA AN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
96,0314438330,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI QUẢNG THẠNH LỘC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
97,0303380939,CÔNG TY TNHH KIẾN TRÚC XÂY DỰNG VÀ THƯƠNG MẠI ĐẤT MỚI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
98,0316327097,CÔNG TY TNHH HÓA ỨNG DỤNG THIÊN HẢI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
99,0309850228,CÔNG TY TNHH ĐẦU TƯ - KIẾN TRÚC - XÂY DỰNG PHÚ QUỐC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
100,0312684080,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ SẢN XUẤT THIÊN SƠN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
101,0314674955,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ HOÀNG TRIỀU MINH,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
102,0312656911,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẠN HOÀNG PHÁT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
103,0314846650,CÔNG TY TNHH TM - DV MỘT THÀNH VIÊN TÙNG PHÁT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
104,0317031286,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG ĐẦU TƯ OANH HOÀNG,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
105,0313692197,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI DỊCH VỤ TÂN HƯNG PHÚC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
106,0314674955,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ HOÀNG TRIỀU MINH,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
107,0314101062,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI XÂY DỰNG THIÊN HƯNG PHÚC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
108,3603862103,CÔNG TY TNHH SX TM DV HOÀNG QUỐC VIỆT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
109,0313692197,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI DỊCH VỤ TÂN HƯNG PHÚC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
110,0312918980,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI THIÊN NGỌC QUÝ,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
111,0309265932,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ ĐẠI CÔNG THÀNH,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
112,0317680611,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRỌNG KHẢI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
113,0317034022,CÔNG TY TNHH DỊCH VỤ SẢN XUẤT XÂY DỰNG QUÂN PHAN,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
114,0312095504,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KHÔI PHÁT THÀNH,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
115,0313355089,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG VÀ VẬN TẢI TÂN HẢI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
116,0317494245,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LÂM TẤN CÔNG,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
117,3603895927,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ HOÀI ĐỨC PHÁT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
118,0313355089,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG VÀ VẬN TẢI TÂN HẢI,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
119,0317487329,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI ĐẦU TƯ VƯƠNG HÙNG,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
120,3603596726,CÔNG TY TNHH KINH DOANH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ MINH TRÍ,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
121,0317460937,CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI DỊCH VỤ PHÚ THÀNH VINH,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
122,3603895902,CÔNG TY TNHH MTV THƯƠNG MẠI DỊCH VỤ TÂN TÂN PHÚC,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
123,0316952492,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG NAM HÒA ĐÔNG,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
124,3603463606,CÔNG TY TNHH XUẤT NHẬP KHẨU SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÂM PHÁT,,Công văn số 2526/PC03-D9 ngày 24/03/2023,,,,,,
125,0102595927,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT AERMEC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
126,0102635672,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU VÀ KINH DOANH XĂNG DẦU TOTAL PETRO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
127,0105957043,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT VÀ CHẾ BIẾN GỖ NGUYỄN XUÂN TRƯỜNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
128,0106125506,CÔNG TY TNHH DỊCH VỤ DU LỊCH KHÁCH SẠN NHÀ HÀNG TRỐNG ĐỒNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
129,0106809707,CÔNG TY TNHH THƯƠNG MẠI XNK VÀ KINH DOANH NHIÊN LIỆU SFC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
130,0106885930,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VÀ NHIÊN LIỆU 68,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
131,0106915247,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG VẬN TẢI AN KHÁNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
132,0107733401,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI VÀ DỊCH VỤ NAM TRUNG BỘ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
133,0107755557,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG VÀ VẬT TƯ ĐIỆN PHÚ QUÝ VIỆT NAM,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
134,0107799071,CÔNG TY TNHH THƯƠNG MẠI KIM PHÚC LỘC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
135,0107854156,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XÂY DỰNG AN ĐÔNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
136,0107984356,CÔNG TY TNHH KINH DOANH SUẤT ĂN CÔNG NGHIỆP HẢI VÂN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
137,0108048007,CÔNG TY TNHH KINH DOANH ẨM THỰC NHA TRANG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
138,0108059802,CÔNG TY TNHH TM DV HÙNG PHÚ THANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
139,0108121183,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ PHAN QUYỀN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
140,0108220466,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HOA HIỀN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
141,0108301274,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRỌNG HUY,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
142,0108318380,CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG ẨM THỰC NÉT HUẾ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
143,0108327064,CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI VÀ XÂY DỰNG PHAN QUỐC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
144,0108358464,CÔNG TY CỔ PHẦN DỊCH VỤ ẨM THỰC THUẬN THÀNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
145,0108370126,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ QUỲNH HƯƠNG,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
146,0108374628,CÔNG TY CỔ PHẦN DỊCH VỤ VẬN TẢI VÀ KINH DOANH NHIÊN LIỆU ECO PETRO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
147,0108376495,CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG ẨM THỰC TÂY BẮC,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
148,0108387232,CÔNG TY CỔ PHẦN BÁN BUÔN PHỤ TÙNG VÀ SỬA CHỮA Ô TÔ NGUYỄN PHÚ,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
149,0108403325,CÔNG TY TNHH XUẤT NHẬP KHẨU PHƯƠNG THÀNH CÔNG VINAKO,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
150,0108414398,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG KHÁCH SẠN SƠN THIÊN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
151,0108432118,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI VÀ DỊCH VỤ THẾ ANH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
152,0108461863,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ ĐẦU TƯ PHÁT TRIỂN HÒA AN,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
153,0108467336,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIANG ĐỊNH,,PHU LUC 524 DN-THEO CV 1798 TCT-16-05-23,,,,,,
